iter	Passed	Remaining
272	897	2389
273	899	2383
274	901	2377
275	905	2374
276	907	2368
277	909	2362
278	912	2356
279	914	2351
280	916	2346
281	919	2341
282	922	2337
283	924	2331
284	927	2326
285	929	2321
286	932	2315
287	934	2310
288	938	2307
289	940	2302
290	942	2296
291	944	2291
292	947	2286
293	949	2281
294	953	2278
295	955	2273
296	958	2267
297	960	2262
298	962	2257
299	965	2251
300	967	2246
301	970	2243
302	973	2238
303	975	2233
304	977	2228
305	980	2222
306	982	2217
307	985	2215
308	988	2210
309	990	2205
310	993	2200
311	995	2195
312	997	2190
313	1000	2185
314	1003	2181
315	1005	2177
316	1008	2172
317	1010	2167
318	1012	2162
319	1015	2157
320	1018	2154
321	1021	2150
322	1023	2145
323	1025	2140
324	1028	2135
325	1030	2130
326	1033	2127
327	1036	2122
328	1038	2118
329	1041	2113
330	1043	2108
331	1045	2104
332	1048	2099
333	1051	2096
334	1053	2091
335	1056	2087
336	1058	2082
337	1060	2077
338	1063	2073
339	1066	2070
340	1069	2066
341	1071	2061
342	1073	2057
343	1076	2052
344	1078	2047
345	1080	2043
346	1084	2040
347	1086	2036
348	1089	2031
349	1091	2026
350	1093	2022
351	1096	2017
352	1100	2017
353	1102	2012
354	1105	2008
355	1107	2003
356	1109	1999
357	1112	1994
358	1115	1992
359	1118	1988
360	1120	1983
361	1123	1979
362	1125	1975
363	1128	1972
364	1133	1972
365	1137	1969
366	1141	1968
367	1143	1964
368	1147	1961
369	1150	1958
370	1152	1954
371	1156	1951
372	1158	1947
373	1160	1942
374	1164	1940
375	1166	1936
376	1169	1931
377	1171	1927
378	1173	1923
379	1176	1918
380	1179	1916
381	1181	1912
382	1184	1907
383	1186	1904
384	1189	1899
385	1191	1895
386	1194	1891
387	1197	1888
388	1199	1884
389	1202	1880
390	1204	1875
391	1206	1871
392	1209	1867
393	1212	1864
394	1214	1860
395	1217	1856
396	1219	1852
397	1221	1848
398	1224	1843
399	1226	1840
400	1229	1837
401	1232	1832
402	1234	1829
403	1237	1826
404	1240	1822
405	1242	1818
406	1245	1814
407	1247	1810
408	1250	1807
409	1253	1803
410	1255	1799
411	1257	1794
412	1261	1792
413	1263	1788
414	1267	1786
415	1269	1782
416	1271	1778
417	1274	1774
418	1277	1771
419	1280	1767
420	1282	1763
421	1284	1759
422	1287	1755
423	1289	1751
424	1292	1749
425	1295	1745
426	1297	1741
427	1299	1736
428	1302	1733
429	1304	1729
430	1307	1725
431	1310	1722
432	1312	1718
433	1314	1714
434	1317	1710
435	1319	1706
436	1321	1702
437	1325	1700
438	1328	1697
439	1331	1694
440	1333	1690
441	1335	1686
442	1338	1682
443	1341	1680
444	1344	1676
445	1346	1672
446	1349	1669
447	1351	1665
448	1353	1661
449	1357	1658
450	1359	1654
451	1361	1651
452	1364	1647
453	1366	1643
454	1369	1639
455	1371	1636
456	1374	1633
457	1377	1629
458	1379	1625
459	1381	1622
460	1384	1618
461	1386	1614
462	1389	1611
463	1392	1608
464	1394	1604
465	1397	1600
466	1399	1597
467	1401	1593
468	1404	1590
469	1407	1586
470	1409	1583
471	1411	1579
472	1414	1575
473	1416	1572
474	1419	1568
475	1422	1565
476	1424	1562
477	1427	1558
478	1429	1554
479	1431	1551
480	1434	1547
481	1437	1545
482	1440	1541
483	1442	1537
484	1444	1534
485	1447	1530
486	1449	1527
487	1452	1523
488	1455	1520
489	1457	1517
490	1459	1513
491	1462	1510
492	1465	1506
493	1467	1503
494	1470	1500
495	1472	1496
496	1475	1493
497	1477	1489
498	1481	1487
499	1483	1483
500	1487	1481
501	1489	1477
502	1491	1474
503	1494	1470
504	1496	1467
505	1499	1463
506	1502	1460
507	1504	1457
508	1507	1453
509	1509	1450
510	1512	1446
511	1514	1443
512	1516	1439
513	1520	1437
514	1522	1433
515	1525	1431
516	1528	1427
517	1530	1424
518	1532	1420
519	1536	1417
520	1538	1414
521	1540	1410
522	1543	1407
523	1545	1404
524	1547	1400
525	1551	1397
526	1553	1394
527	1556	1390
528	1558	1387
529	1560	1384
530	1563	1380
531	1565	1377
532	1568	1374
533	1571	1370
534	1573	1367
535	1575	1364
536	1578	1360
537	1580	1357
538	1584	1354
539	1586	1351
540	1588	1347
541	1590	1344
542	1593	1341
543	1595	1337
544	1598	1334
545	1601	1331
546	1603	1327
547	1606	1324
548	1608	1321
549	1610	1317
550	1613	1315
551	1617	1312
552	1620	1309
553	1622	1306
554	1625	1302
555	1627	1299
556	1629	1296
557	1633	1293
558	1635	1290
559	1638	1287
560	1640	1283
561	1642	1280
562	1645	1276
563	1648	1274
564	1650	1270
565	1653	1267
566	1655	1264
567	1658	1261
568	1661	1258
569	1664	1255
570	1666	1252
571	1669	1249
572	1671	1245
573	1674	1242
574	1676	1239
575	1679	1236
576	1682	1233
577	1684	1229
578	1686	1226
579	1689	1223
580	1691	1219
581	1693	1216
582	1696	1213
583	1699	1210
584	1701	1207
585	1704	1204
586	1706	1200
587	1709	1197
588	1712	1194
589	1714	1191
590	1717	1188
591	1719	1185
592	1722	1181
593	1724	1178
594	1726	1175
595	1730	1172
596	1732	1169
597	1734	1166
598	1737	1162
599	1739	1159
600	1741	1156
601	1745	1153
602	1747	1150
603	1749	1147
604	1752	1144
605	1754	1141
606	1757	1137
607	1759	1134
608	1763	1132
609	1765	1128
610	1767	1125
611	1770	1122
612	1772	1119
613	1774	1115
614	1778	1113
615	1780	1110
616	1782	1106
617	1785	1103
618	1787	1100
619	1790	1097
620	1793	1094
621	1795	1091
622	1797	1087
623	1800	1084
624	1802	1081
625	1804	1078
626	1807	1075
627	1810	1072
628	1812	1069
629	1815	1066
630	1817	1062
631	1819	1059
632	1822	1056
633	1824	1053
634	1827	1050
635	1829	1047
636	1832	1044
637	1834	1040
638	1836	1037
639	1839	1034
640	1842	1031
641	1844	1028
642	1847	1025
643	1849	1022
644	1851	1019
645	1854	1016
646	1856	1012
647	1859	1010
648	1861	1006
649	1864	1003
650	1866	1000
651	1868	997
652	1871	994
653	1874	991
654	1876	988
655	1879	985
656	1881	982
657	1884	979
658	1886	976
659	1888	973
660	1892	970
661	1894	967
662	1897	964
663	1899	961
664	1902	958
665	1904	955
666	1908	952
667	1910	949
668	1912	946
669	1915	943
670	1917	940
671	1919	937
672	1923	934
673	1925	931
674	1928	928
675	1930	925
676	1932	922
677	1934	918
678	1937	915
679	1940	913
680	1942	910
681	1945	907
682	1947	904
683	1950	900
684	1952	898
685	1956	895
686	1958	892
687	1960	889
688	1963	886
689	1965	883
690	1967	879
691	1970	876
692	1973	874
693	1975	871
694	1978	868
695	1980	864
696	1982	861
697	1984	858
698	1988	856
699	1990	853
700	1992	850
701	1995	847
702	1997	844
703	2000	840
704	2002	837
705	2005	835
706	2008	832
707	2010	829
708	2012	826
709	2015	823
710	2017	820
711	2021	817
712	2023	814
713	2025	811
714	2028	808
715	2030	805
716	2032	802
717	2035	799
718	2039	796
719	2041	793
720	2043	790
721	2046	787
722	2048	784
723	2050	781
724	2054	779
725	2056	776
726	2058	773
727	2060	770
728	2063	767
729	2065	764
730	2069	761
731	2071	758
732	2073	755
733	2076	752
734	2078	749
735	2080	746
736	2083	743
737	2086	740
738	2088	737
739	2090	734
740	2093	731
741	2095	728
742	2097	725
743	2101	722
744	2103	720
745	2106	717
746	2108	714
747	2110	711
748	2113	708
749	2116	705
750	2118	702
751	2121	699
752	2123	696
753	2125	693
754	2128	690
755	2130	687
756	2133	684
757	2135	681
758	2138	678
759	2140	675
760	2142	672
761	2145	670
762	2147	667
763	2151	664
764	2153	661
765	2155	658
766	2157	655
767	2160	652
768	2162	649
769	2165	646
770	2168	643
771	2170	640
772	2172	638
773	2174	635
774	2177	632
775	2179	629
776	2182	626
777	2185	623
778	2187	620
779	2189	617
780	2192	614
781	2194	611
782	2196	608
783	2199	606
784	2202	603
785	2204	600
786	2206	597
787	2209	594
788	2211	591
789	2215	588
790	2217	585
791	2219	582
792	2222	580
793	2224	577
794	2226	574
795	2228	571
796	2231	568
797	2234	565
798	2236	562
799	2238	559
800	2241	556
801	2243	553
802	2246	551
803	2249	548
804	2251	545
805	2253	542
806	2256	539
807	2258	536
808	2260	533
809	2263	531
810	2266	528
811	2268	525
812	2271	522
813	2273	519
814	2275	516
815	2279	513
816	2281	510
817	2284	508
818	2286	505
819	2289	502
820	2291	499
821	2295	496
822	2297	494
823	2300	491
824	2303	488
825	2305	485
826	2307	482
827	2310	480
828	2313	477
829	2315	474
830	2317	471
831	2320	468
832	2322	465
833	2324	462
834	2328	460
835	2330	457
836	2332	454
837	2335	451
838	2337	448
839	2339	445
840	2342	442
841	2345	440
842	2347	437
843	2350	434
844	2352	431
845	2355	428
846	2357	425
847	2360	423
848	2362	420
849	2365	417
850	2367	414
851	2370	411
852	2372	408
853	2374	406
854	2377	403
855	2379	400
856	2382	397
857	2384	394
858	2387	391
859	2389	388
860	2392	386
861	2394	383
862	2397	380
863	2399	377
864	2402	374
865	2404	372
866	2407	369
867	2410	366
868	2412	363
869	2414	360
870	2417	358
871	2419	355
872	2422	352
873	2425	349
874	2427	346
875	2430	343
876	2432	341
877	2435	338
878	2437	335
879	2440	332
880	2443	330
881	2445	327
882	2448	324
883	2450	321
884	2453	318
885	2456	316
886	2458	313
887	2460	310
888	2463	307
889	2465	304
890	2468	301
891	2470	299
892	2473	296
893	2476	293
894	2478	290
895	2480	287
896	2483	285
897	2485	282
898	2488	279
899	2491	276
900	2493	273
901	2496	271
902	2498	268
903	2501	265
904	2503	262
905	2506	260
906	2508	257
907	2511	254
908	2513	251
909	2516	248
910	2518	246
911	2521	243
912	2524	240
913	2526	237
914	2528	234
915	2531	232
916	2533	229
917	2536	226
918	2539	223
919	2541	221
920	2544	218
921	2546	215
922	2548	212
923	2551	209
924	2554	207
925	2556	204
926	2559	201
927	2561	198
928	2564	195
929	2566	193
930	2569	190
931	2572	187
932	2575	184
933	2577	182
934	2580	179
935	2582	176
936	2585	173
937	2588	171
938	2590	168
939	2593	165
940	2595	162
941	2597	159
942	2600	157
943	2603	154
944	2605	151
945	2607	148
946	2610	146
947	2612	143
948	2614	140
949	2618	137
950	2620	135
951	2623	132
952	2625	129
953	2627	126
954	2630	123
955	2632	121
956	2635	118
957	2638	115
958	2640	112
959	2643	110
960	2645	107
961	2647	104
962	2651	101
963	2653	99
964	2655	96
965	2658	93
966	2660	90
967	2662	88
968	2665	85
969	2668	82
970	2670	79
971	2673	77
972	2675	74
973	2678	71
974	2680	68
975	2684	66
976	2686	63
977	2689	60
978	2691	57
979	2693	54
980	2696	52
981	2699	49
982	2701	46
983	2704	43
984	2706	41
985	2708	38
986	2710	35
987	2713	32
988	2716	30
989	2718	27
990	2721	24
991	2723	21
992	2726	19
993	2728	16
994	2731	13
995	2733	10
996	2736	8
997	2738	5
998	2741	2
999	2743	0
